name,url,price,category,store,date
Boerewors Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-turkey/beef-sausage-boerewors-pc/p/121512,75,smocked-roasted-turkey,Carrefour,2025-08-06
Kenmeat Peri Peri Beef Sausage 1kg,https://www.carrefour.ke/mafken/en/beef/kenmeat-beef-sausage-peri-peri-1kg/p/167771,765,beef,Carrefour,2025-08-06
Counter Griller Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-turkey/counter-beef-griller-sausage/p/7667,795,smocked-roasted-turkey,Carrefour,2025-08-06
Peri Peri Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/sausage-beef-periperi-kg/p/204817,185,smocked-roasted-beef,Carrefour,2025-08-06
Bel's Organic Ginger Garlic Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-ginger-mix-250g/p/260,665,dips,Carrefour,2025-08-06
Bels Organic Garlic Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-paste-250g/p/256,665,dips,Carrefour,2025-08-06
Bels Organic Ginger Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-ginger-paste-250g/p/258,599,dips,Carrefour,2025-08-06
Bel's Organic Ginger Garlic Paste 350g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-ginger-mix-350g/p/261,899,dips,Carrefour,2025-08-06
Bels Organic Ginger Paste 350g,https://www.carrefour.ke/mafken/en/dips/bels-organic-ginger-paste-350g/p/259,799,dips,Carrefour,2025-08-06
Core Freshly Ground Garlic 250g,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-garlic-250g/p/212734,651,dips,Carrefour,2025-08-06
Core Freshly Ground Ginger 250g,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-ginger-250g/p/193668,579,dips,Carrefour,2025-08-06
CORE FRESHLY GRND GINGER&GARLIC250G,https://www.carrefour.ke/mafken/en/dips/core-freshly-grnd-ginger-garlic250g/p/193672,651,dips,Carrefour,2025-08-06
Kenchic Snacky Chicken Bite 125g,https://www.carrefour.ke/mafken/en/pate/kenchic-chicken-snacky-bite-125g/p/51893,99,pate,Carrefour,2025-08-06
Core Freshly Ground Ginger And Garlic 350g,https://www.carrefour.ke/mafken/en/dips/core-freshly-grnd-ginger-garlic350g/p/193673,896,dips,Carrefour,2025-08-06
CORE FRESHLY GROUND GARLIC 350G,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-garlic-350g/p/193669,896,dips,Carrefour,2025-08-06
CORE FRESHLY GROUND GINGER 350G,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-ginger-350g/p/193671,779,dips,Carrefour,2025-08-06
CRF LUMPFISH EGGS RED 80G,https://www.carrefour.ke/mafken/en/sea-foods/crf-lumpfish-eggs-red-80g/p/136698,1729,sea-foods,Carrefour,2025-08-06
CRF BLACK LUMP EGGS 80G,https://www.carrefour.ke/mafken/en/sea-foods/crf-black-lump-eggs-80g/p/136699,1729,sea-foods,Carrefour,2025-08-06
Crf Anchovy Capers Roll 100G,https://www.carrefour.ke/mafken/en/dressing/crf-anchovy-capers-roll-100g/p/33530,1169,dressing,Carrefour,2025-08-06
